"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","INDUSTRY_NAME","EMPLOYMENT_SIZEBAND_NAME","LEGAL_STATUS_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2013","Swindon","E06000030","Q : Human health and social work activities","Large (250+)","Private sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","Q : Human health and social work activities","Large (250+)","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","Q : Human health and social work activities","250 to 499","Total","Value",0,"Normal Value"
"2013","Swindon","E06000030","Q : Human health and social work activities","250 to 499","Private sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","Q : Human health and social work activities","250 to 499","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","Q : Human health and social work activities","500 to 999","Total","Value",0,"Normal Value"
"2013","Swindon","E06000030","Q : Human health and social work activities","500 to 999","Private sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","Q : Human health and social work activities","500 to 999","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","Q : Human health and social work activities","1000+","Total","Value",0,"Normal Value"
"2013","Swindon","E06000030","Q : Human health and social work activities","1000+","Private sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","Q : Human health and social work activities","1000+","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","Total","Total","Value",95,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","Total","Private sector total","Value",95,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","Total","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","Micro (0 to 9)","Total","Value",80,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","Micro (0 to 9)","Private sector total","Value",80,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","Micro (0 to 9)","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","0 to 4","Total","Value",75,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","0 to 4","Private sector total","Value",75,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","0 to 4","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","5 to 9","Total","Value",5,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","5 to 9","Private sector total","Value",5,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","5 to 9","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","Small (10 to 49)","Total","Value",10,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","Small (10 to 49)","Private sector total","Value",10,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","Small (10 to 49)","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","10 to 19","Total","Value",10,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","10 to 19","Private sector total","Value",10,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","10 to 19","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","20 to 49","Total","Value",5,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","20 to 49","Private sector total","Value",5,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","20 to 49","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","Medium-sized (50 to 249)","Total","Value",5,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","Medium-sized (50 to 249)","Private sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","Medium-sized (50 to 249)","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","50 to 99","Total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","50 to 99","Private sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","50 to 99","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","100 to 249","Total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","100 to 249","Private sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","100 to 249","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","Large (250+)","Total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","Large (250+)","Private sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","Large (250+)","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","250 to 499","Total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","250 to 499","Private sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","250 to 499","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","500 to 999","Total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","500 to 999","Private sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","500 to 999","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","1000+","Total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","1000+","Private sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","R : Arts, entertainment and recreation","1000+","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","Total","Total","Value",265,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","Total","Private sector total","Value",265,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","Total","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","Micro (0 to 9)","Total","Value",240,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","Micro (0 to 9)","Private sector total","Value",240,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","Micro (0 to 9)","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","0 to 4","Total","Value",200,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","0 to 4","Private sector total","Value",200,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","0 to 4","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","5 to 9","Total","Value",40,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","5 to 9","Private sector total","Value",40,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","5 to 9","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","Small (10 to 49)","Total","Value",20,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","Small (10 to 49)","Private sector total","Value",20,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","Small (10 to 49)","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","10 to 19","Total","Value",15,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","10 to 19","Private sector total","Value",15,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","10 to 19","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","20 to 49","Total","Value",5,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","20 to 49","Private sector total","Value",5,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","20 to 49","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","Medium-sized (50 to 249)","Total","Value",5,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","Medium-sized (50 to 249)","Private sector total","Value",5,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","Medium-sized (50 to 249)","Public sector total","Value",0,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","50 to 99","Total","Value",0,"Normal Value"
"2013","Swindon","E06000030","S : Other service activities","50 to 99","Private sector total","Value",0,"Normal Value"
